iteration,experiment_name,structure,method,scope,pruning_ratio,accuracy,loss,pgd_linf,cw_l2,bb_l0,total_params,params_left
0,fixed-eps-VGG-magnitude-local-unstructured,unstructured,magnitude,local,0.0,0.8522292971611023,0.5374445915222168,"[0.23046875, 0.2578125, 0.28515625, 0.296875, 0.35546875, 0.48828125]","([32.709427, 0.00013838602, 16.052788, 19.28607, 13.01545, 16.956224, 29.134655, 11.770074, 18.841648, 20.300236, 11.911172, 27.693245, 23.428112, 9.156912e-05, 18.034773, 21.862543, 24.106894, 19.505405, 0.00011859472, 22.902027, 24.456709, 18.11651, 28.575937, 15.121955, 29.714186, 19.450197, 0.00013244309, 15.01798, 14.781004, 16.833864, 20.135338, 27.162128, 47.500782, 28.446667, 33.211525, 23.1777, 27.409552, 24.52601, 21.445446, 21.509583, 28.502682, 0.00013335703, 17.01485, 47.752552, 19.53953, 0.00011667442, 109.87339, 17.596703, 19.49375, 17.527727, 12.3547, 33.980247, 28.759184, 36.578705, 0.0001468948, 14.951464, 21.28335, 0.00014689003, 8.746238e-05, 9.122066, 19.994026, 0.00011474856, 0.00012039154, 20.984926, 8.085675e-05, 0.0001038885, 9.948811e-05, 20.81197, 22.579756, 0.00013606474, 15.24485, 36.13985, 18.55873, 29.954603, 32.208546, 25.818651, 22.55893, 34.386566, 7.977361, 19.825844, 21.237036, 9.1270485e-05, 23.803827, 21.336838, 17.675058, 40.70503, 23.41378, 7.9235484e-05, 16.26437, 15.454704, 9.665137, 0.00012229015, 9.5772535e-05, 25.566292, 22.333324, 21.435434, 29.42352, 19.740936, 20.635056, 15.895336, 20.7458, 17.339357, 25.291206, 29.357924, 27.175426, 0.0001443994, 23.164232, 29.63182, 16.857388, 13.861632, 15.282385, 27.236904, 21.944891, 22.556255, 9.1727765e-05, 29.314074, 18.402122, 12.769179, 12.708432, 25.60366, 14.382861, 23.351145, 22.341402, 12.964915, 19.326456, 0.000103017876, 32.688194, 22.749617, 18.65802, 28.839317, 0.00011442735, 19.120377, 16.731022, 29.99959, 22.844072, 19.06673, 27.608265, 28.000822, 20.597147, 14.819047, 10.067745, 21.946114, 0.00013946455, 26.310549, 33.657974, 13.6987295, 18.720879, 16.847668, 28.95283, 14.690931, 0.000116673444, 22.95583, 8.430995e-05, 21.103952, 7.9532113, 22.164673, 8.988429e-05, 17.458197, 7.2862946e-05, 0.00012471923, 19.852737, 17.109081, 9.423686e-05, 26.458763, 22.53999, 17.628187, 15.276482, 21.954245, 32.682743, 15.361179, 17.25188, 49.880047, 25.960596, 16.684948, 23.844719, 0.00012191856, 20.682625, 20.0212, 18.086653, 22.693861, 19.824633, 21.168083, 17.591906, 29.436735, 0.00011632062, 32.125946, 23.492914, 27.385017, 20.494558, 34.22818, 19.764896, 18.582464, 22.447733, 7.330802e-05, 17.018448, 25.46322, 20.34236, 23.113888, 44.917294, 27.670761, 0.00010006277, 24.876959, 15.274295, 26.91776, 17.334501, 20.716736, 23.553396, 15.379118, 38.489178, 25.57395, 17.12672, 21.070354, 19.54364, 21.435238, 28.748493, 14.330318, 18.672264, 21.97103, 28.703728, 11.841595, 12.390548, 0.00014332845, 12.294464, 24.673666, 25.647034, 0.00010301992, 14.161928, 21.219547, 18.765089, 0.0001138273, 109.89113, 21.009735, 17.401878, 30.897213, 20.698023, 14.383776, 0.00012676096, 22.866486, 126.251335, 18.15351, 9.579561e-05, 18.876926, 33.68005, 25.630001, 27.30629, 0.00012095528, 24.528769, 26.43627, 33.917427, 11.305418, 9.076053e-05, 0.00010327213, 44.38399, 0.00012346043, 16.628405, 40.3045], [<tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True, False,  True,  True,
        True,  True,  True,  True,  True, False,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>])","([305, 0, 36, 182, 300, 5, 667, 62, 199, 208, 2, 27, 97, 0, 322, 710, 148, 204, 0, 126, 18, 42, 257, 1104, 58, 26, 0, 12, 11, 1, 517, 130, 1695, 141, 120, 99, 198, 6, 303, 296, 56, 0, 38, 1026, 16, 0, 2371, 94, 70, 23, 74, 486, 74, 761, 0, 267, 306, 0, 0, 210, 129, 0, 0, 14, 0, 0, 0, 80, 49, 0, 1, 131, 103, 38, 115, 92, 24, 511, 14, 34, 555, 0, 298, 287, 3, 91, 118, 0, 118, 5, 17, 0, 0, 81, 53, 9, 138, 113, 64, 4, 209, 23, 24, 117, 563, 0, 3, 131, 98, 82, 6, 393, 8, 199, 0, 240, 72, 10, 122, 1030, 40, 100, 90, 13, 286, 0, 359, 284, 41, 99, 0, 94, 212, 203, 167, 193, 101, 392, 64, 216, 23, 415, 0, 46, 351, 2, 313, 118, 85, 77, 0, 29, 0, 188, 3, 28, 0, 21, 0, 0, 23, 4, 0, 102, 150, 4, 5, 1123, 34, 33, 120, 88, 270, 253, 38, 0, 66, 295, 24, 73, 36, 1755, 28, 508, 0, 196, 85, 315, 70, 142, 59, 230, 120, 0, 48, 168, 13, 2, 18, 82, 0, 428, 38, 896, 6, 86, 26, 3, 438, 614, 403, 100, 6, 74, 201, 266, 12, 5, 523, 18, 20, 0, 237, 377, 2696, 0, 96, 205, 7, 0, 1101, 44, 1, 27, 56, 114, 0, 46, 356, 22, 0, 13, 395, 15, 163, 0, 349, 923, 789, 26, 0, 0, 1246, 0, 205, 498], [<tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>])",116182720,116182720
0,fixed-eps-VGG-magnitude-local-unstructured,unstructured,magnitude,local,0.5,0.8522292971611023,0.6044541001319885,"[0.23828125, 0.27734375, 0.30078125, 0.33203125, 0.3828125, 0.46484375]","([33.51139, 0.00013838602, 19.372059, 29.970234, 14.757621, 17.383453, 33.10925, 12.631367, 24.984488, 19.78086, 12.418241, 19.758345, 14.403, 9.156912e-05, 18.694393, 18.863434, 24.414322, 26.487226, 0.00011859472, 29.40294, 20.31438, 25.543106, 22.292131, 16.498844, 32.11323, 20.492615, 0.00013244309, 16.582663, 14.469393, 18.02439, 30.893826, 18.122448, 42.746147, 21.710257, 26.473694, 20.824814, 24.628407, 0.00014877888, 24.848965, 28.856695, 27.131588, 0.00013335703, 13.164804, 48.595524, 24.642792, 0.00011667442, 52.071175, 23.257843, 20.040577, 23.209969, 16.19204, 35.021896, 29.25213, 27.028814, 0.0001468948, 20.162376, 25.726156, 0.00014689003, 8.746238e-05, 9.637558, 11.465343, 0.00011474856, 0.00012039154, 21.418514, 8.085675e-05, 0.0001038885, 9.948811e-05, 23.596539, 22.321495, 0.00013606474, 0.0001065953, 29.686024, 17.101938, 30.577171, 21.909967, 21.316376, 19.010094, 37.83584, 8.094509, 21.904778, 25.25274, 9.1270485e-05, 28.974571, 21.283127, 0.00011286363, 15.538661, 20.153875, 7.9235484e-05, 26.973257, 17.271338, 11.101281, 0.00012229015, 9.5772535e-05, 25.287283, 21.610294, 22.886175, 28.808327, 22.607262, 18.092745, 14.862541, 17.29513, 20.332756, 20.913057, 19.51721, 26.483242, 0.0001443994, 0.0001128749, 37.556263, 8.517546, 14.463845, 15.925554, 54.96405, 21.212416, 19.432104, 9.1727765e-05, 29.935913, 20.465168, 12.460166, 19.555326, 27.050745, 18.377579, 24.078918, 14.023327, 13.1456785, 24.238817, 0.000103017876, 31.700861, 28.89537, 17.646433, 22.976788, 0.00011442735, 20.15992, 18.29809, 33.112015, 17.308716, 22.275913, 31.982607, 33.17268, 20.412931, 18.77871, 9.979679, 19.098574, 14.394745, 26.999937, 35.205936, 13.42086, 21.560715, 16.450119, 33.638786, 7.053486, 0.000116673444, 34.68348, 8.430995e-05, 13.231612, 7.932144, 21.294718, 8.988429e-05, 20.320316, 7.2862946e-05, 0.00012471923, 31.124113, 17.390701, 9.423686e-05, 26.49133, 25.978138, 18.455564, 16.019152, 25.202696, 20.455526, 16.253399, 17.998981, 36.27218, 35.36256, 22.75618, 24.402758, 0.00012191856, 26.900534, 26.399223, 17.220465, 22.695322, 20.070631, 17.896461, 15.223545, 25.191109, 0.00011632062, 36.01734, 22.457472, 34.330456, 17.81289, 33.87189, 31.394108, 21.923464, 29.065863, 12.144373, 15.908399, 25.986515, 20.13515, 0.00013479697, 23.055502, 22.985546, 17.603727, 19.18247, 17.485598, 20.373716, 15.54755, 19.699339, 25.247616, 16.204588, 58.03124, 21.522451, 24.854153, 19.796488, 23.243109, 22.780771, 27.50959, 34.532547, 18.410265, 0.00011623208, 29.03032, 12.203133, 12.077369, 0.00014332845, 26.030851, 27.22982, 43.63563, 0.00010301992, 11.223569, 17.900095, 19.301077, 0.0001138273, 64.950554, 23.22529, 0.00010916478, 37.340378, 12.09679, 20.199793, 0.00012676096, 23.852556, 41.33138, 17.63042, 17.667072, 0.00010550978, 87.76959, 22.696896, 34.439392, 0.00012095528, 26.625383, 27.325222, 41.097645, 12.832563, 9.076053e-05, 0.00010327213, 40.801117, 0.00012346043, 16.062658, 31.877728], [<tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>])","([154, 0, 17, 436, 559, 50, 964, 73, 310, 254, 35, 19, 169, 0, 196, 544, 82, 369, 0, 109, 13, 28, 183, 744, 18, 16, 0, 16, 3, 3, 546, 70, 434, 303, 25, 181, 318, 0, 594, 438, 52, 0, 3, 969, 9, 0, 3023, 194, 8, 38, 72, 395, 45, 862, 0, 604, 818, 0, 0, 302, 229, 0, 0, 6, 0, 0, 0, 92, 36, 0, 0, 117, 67, 52, 188, 239, 8, 188, 23, 40, 1033, 0, 311, 227, 0, 42, 300, 0, 64, 5, 48, 0, 0, 16, 46, 9, 377, 91, 63, 5, 62, 25, 11, 144, 551, 0, 0, 448, 79, 84, 12, 255, 10, 6, 0, 69, 31, 25, 60, 495, 14, 100, 122, 13, 209, 0, 272, 228, 42, 95, 0, 42, 57, 305, 170, 321, 239, 418, 61, 721, 11, 491, 1, 30, 158, 1, 396, 53, 92, 42, 0, 21, 0, 76, 88, 30, 0, 79, 0, 0, 14, 13, 0, 179, 100, 22, 3, 609, 126, 55, 161, 48, 235, 80, 59, 0, 87, 261, 21, 77, 24, 853, 26, 209, 0, 251, 65, 205, 125, 323, 539, 156, 207, 3, 133, 180, 63, 0, 4, 46, 1, 286, 43, 1248, 5, 84, 33, 3, 415, 1021, 811, 104, 5, 220, 220, 174, 22, 0, 561, 12, 19, 0, 319, 313, 892, 0, 101, 241, 3, 0, 349, 51, 0, 409, 85, 309, 0, 21, 661, 11, 3, 0, 233, 12, 155, 0, 135, 619, 344, 25, 0, 0, 750, 0, 147, 622], [<tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>])",116182720,58091360
0,fixed-eps-VGG-magnitude-local-unstructured,unstructured,magnitude,local,0.75,0.8619108200073242,0.6277323961257935,"[0.22265625, 0.23828125, 0.28125, 0.3203125, 0.3515625, 0.453125]","([24.825998, 0.00013838602, 19.195387, 11.075074, 10.695942, 20.17404, 28.718729, 13.238738, 26.45543, 30.774088, 19.456192, 23.082342, 25.43464, 9.156912e-05, 18.558603, 16.86908, 22.377913, 12.63723, 0.00011859472, 23.789022, 29.315605, 17.497562, 15.660386, 14.756268, 21.761606, 21.148243, 0.00013244309, 14.034203, 14.621413, 18.872208, 25.53546, 22.505444, 22.983747, 27.7054, 69.57275, 16.901726, 27.643997, 0.00014877888, 31.556017, 26.84043, 22.347595, 22.169083, 16.669249, 45.916996, 30.598375, 0.00011667442, 24.686241, 23.008512, 19.889395, 21.237759, 16.975798, 27.52303, 32.480392, 38.12621, 0.0001468948, 22.11454, 16.521193, 0.00014689003, 8.746238e-05, 9.102905, 24.711332, 0.00011474856, 0.00012039154, 22.819592, 8.085675e-05, 20.840078, 9.948811e-05, 21.14371, 23.186447, 23.339737, 15.4296055, 25.312681, 17.528954, 30.179634, 33.443222, 31.16241, 20.937061, 33.58767, 9.828675, 19.319761, 25.114765, 9.1270485e-05, 33.977123, 22.972086, 0.00011286363, 29.147594, 22.766575, 7.9235484e-05, 32.444813, 15.710221, 12.493077, 0.00012229015, 9.5772535e-05, 25.436186, 29.577454, 14.782014, 20.85859, 21.962395, 16.979431, 17.142708, 18.91274, 18.215668, 22.30653, 23.303144, 21.201603, 0.0001443994, 0.0001128749, 38.149372, 14.361616, 18.583355, 18.048637, 16.642082, 35.586456, 30.041395, 9.1727765e-05, 26.55564, 18.774805, 8.086173e-05, 16.43066, 49.80318, 14.806553, 19.98416, 22.684887, 13.934468, 19.44705, 0.000103017876, 30.4208, 27.82197, 26.216932, 24.017584, 25.32719, 25.33466, 18.402134, 27.44646, 23.356852, 14.017696, 28.62511, 28.253183, 25.52916, 22.198963, 10.499215, 16.36868, 13.942674, 24.33217, 28.459965, 13.405184, 40.191914, 22.056067, 32.93836, 11.408906, 0.000116673444, 23.012693, 8.430995e-05, 16.458727, 5.2722295e-05, 20.96537, 8.988429e-05, 20.578339, 7.2862946e-05, 0.00012471923, 29.578678, 21.999966, 9.423686e-05, 18.83097, 23.753885, 18.383417, 15.692867, 26.676306, 13.208722, 15.967327, 23.720114, 33.523895, 26.215456, 18.773746, 22.618753, 0.00012191856, 17.74257, 26.259415, 17.145742, 24.2655, 19.618214, 22.145714, 17.639385, 24.850933, 0.00011632062, 99.146065, 19.959631, 30.67387, 13.787716, 33.547455, 27.338879, 26.647333, 44.76458, 13.707532, 20.762337, 23.957762, 21.812038, 0.00013479697, 20.285095, 22.309582, 18.153374, 26.230106, 13.103474, 31.966656, 15.39062, 26.215227, 24.112059, 15.439946, 30.659496, 24.673227, 12.62898, 23.26884, 21.014204, 22.614702, 27.954172, 41.0939, 18.680035, 22.877094, 19.43005, 11.524262, 13.658204, 0.00014332845, 19.282633, 29.590492, 68.63109, 0.00010301992, 10.270971, 25.61902, 19.339415, 0.0001138273, 55.095203, 25.005863, 0.00010916478, 24.453226, 17.754044, 14.731426, 0.00012676096, 30.889761, 41.616745, 21.043974, 17.318213, 0.00010550978, 34.36993, 0.00014029912, 27.116297, 0.00012095528, 25.598671, 27.015669, 62.00464, 12.561914, 9.076053e-05, 19.421501, 40.86609, 0.00012346043, 14.438745, 42.24961], [<tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>])","([383, 0, 19, 272, 61, 156, 1944, 67, 114, 54, 19, 31, 178, 0, 726, 661, 171, 158, 0, 160, 13, 165, 330, 1312, 29, 18, 0, 16, 2, 12, 546, 52, 512, 255, 241, 28, 130, 0, 4006, 340, 58, 4, 13, 2447, 57, 0, 2305, 217, 4, 11, 115, 790, 41, 1029, 0, 354, 131, 0, 0, 170, 132, 0, 0, 10, 0, 291, 0, 101, 57, 19, 2, 133, 151, 21, 81, 165, 20, 578, 16, 43, 522, 0, 404, 134, 0, 142, 217, 0, 385, 8, 69, 0, 0, 29, 158, 1, 266, 43, 60, 1, 335, 26, 20, 94, 726, 0, 0, 108, 75, 100, 10, 167, 130, 11, 0, 133, 10, 0, 49, 725, 230, 60, 102, 17, 696, 0, 778, 814, 22, 37, 16, 78, 175, 268, 33, 353, 102, 171, 59, 291, 18, 594, 11, 73, 646, 2, 449, 60, 55, 34, 0, 10, 0, 123, 0, 25, 0, 44, 0, 0, 44, 26, 0, 272, 175, 5, 4, 877, 69, 28, 120, 80, 341, 104, 47, 0, 62, 392, 36, 76, 27, 1384, 34, 228, 0, 456, 59, 219, 82, 1070, 462, 152, 308, 64, 226, 122, 17, 0, 9, 30, 16, 341, 34, 992, 6, 45, 62, 2, 596, 1506, 704, 79, 5, 207, 123, 3160, 85, 6, 2615, 13, 11, 0, 578, 1030, 1607, 0, 92, 196, 7, 0, 903, 10, 0, 55, 71, 246, 0, 234, 5789, 21, 3, 0, 850, 0, 471, 0, 192, 621, 485, 27, 0, 38, 858, 0, 274, 428], [<tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>, <tf.Tensor: shape=(32,), dtype=bool, numpy=
array([ True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True,  True,  True,  True,  True,
        True,  True,  True,  True,  True])>])",116182720,29045680
