0,1,2,3,4,5,6
"[1.5305567979812622, 0.9297999739646912]","[1.504706859588623, 0.9567999839782715]","[1.5270885229110718, 0.9351999759674072]","[1.544792652130127, 0.9168999791145325]","[1.5513713359832764, 0.9117000102996826]","[1.6617599725723267, 0.8012999892234802]","[1.8280155658721924, 0.6323999762535095]"
"[1.8237406015396118, 0.6363999843597412]","[1.8228744268417358, 0.6355999708175659]","[1.8208917379379272, 0.6384999752044678]","[1.8219374418258667, 0.6366000175476074]","[1.8180760145187378, 0.6413000226020813]","[1.8209702968597412, 0.6376000046730042]","[1.7994472980499268, 0.6615999937057495]"
