0,1
"[2.0481786727905273, 0.41130000352859497]","[2.049283504486084, 0.4104999899864197]"
"[2.047666311264038, 0.4106000065803528]","[2.0471608638763428, 0.41119998693466187]"
"[2.0479207038879395, 0.4106000065803528]","[2.04888916015625, 0.4108000099658966]"
