0,1,2,3,4,5,6
"[1.48463773727417, 0.9764000177383423]","[1.485417366027832, 0.9753000140190125]","[1.483549952507019, 0.9779999852180481]","[1.484817624092102, 0.9761000275611877]","[1.4886466264724731, 0.9722999930381775]","[1.4970966577529907, 0.9641000032424927]","[1.5189623832702637, 0.9429000020027161]"
"[1.4858449697494507, 0.975600004196167]","[1.4870597124099731, 0.9740999937057495]","[1.485222339630127, 0.9765999913215637]","[1.4849554300308228, 0.9763000011444092]","[1.4881166219711304, 0.973800003528595]","[1.494705080986023, 0.9672999978065491]","[1.5173077583312988, 0.9447000026702881]"
"[1.4822545051574707, 0.9789999723434448]","[1.4850592613220215, 0.9763000011444092]","[1.4843194484710693, 0.9768000245094299]","[1.4847697019577026, 0.9761999845504761]","[1.487828254699707, 0.9731000065803528]","[1.4981529712677002, 0.9635999798774719]","[1.5165987014770508, 0.9455999732017517]"
