0,1,2,3,4,5,6
"[1.4858113527297974, 0.9757000207901001]","[1.4836063385009766, 0.9776999950408936]","[1.4866857528686523, 0.9753000140190125]","[1.4935072660446167, 0.9684000015258789]","[1.5042951107025146, 0.9574999809265137]","[1.7442363500595093, 0.7379000186920166]","[1.9710521697998047, 0.4950999915599823]"
"[1.4843544960021973, 0.9769999980926514]","[1.4825466871261597, 0.979200005531311]","[1.4877729415893555, 0.973800003528595]","[1.4937543869018555, 0.9682000279426575]","[1.5012270212173462, 0.9596999883651733]","[1.5746403932571411, 0.9289000034332275]","[1.7590675354003906, 0.6852999925613403]"
"[1.4843143224716187, 0.9768999814987183]","[1.4825536012649536, 0.9790999889373779]","[1.4888197183609009, 0.9728999733924866]","[1.4921914339065552, 0.9692999720573425]","[1.5035736560821533, 0.958899974822998]","[1.6106950044631958, 0.809499979019165]","[1.9753919839859009, 0.42410001158714294]"
